rt	comment	id	pubchem.smiles.canonical	pubchem.smiles.isomeric	
1		41279_00001	CC12CCC(CC1CCC3C2CCC4(C3CCC4=O)C)OS(=O)(=O)O		
1		41279_00002	CC(CCC(=O)O)C1CCC2C1(C(CC3C2C(CC4C3(CCC(C4)O)C)O)O)C		
0.92		41279_00003	CCCCCCCCCCCCC(C(=O)O)O		
1		41279_00004	C=CCCCCCCCCC(=O)O		
1		41279_00005	CCCCCCC=CCCCC(=O)O		
1	doublet	41279_00006	CCCCCCCCCCCC(=O)O		
2		41279_00007	CCCCCCCCCCCC(=O)O		
1.35		41279_00008	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)O		
2		41279_00009	CCCCCC=CCC=CCC=CCC=CCCCC(=O)O		
2		41279_00010	CCCCCC=CCC=CCCCCCCCC(=O)O		
4		41279_00011	CCCCCCCCC=CCCCCCCCCCCCC(=O)O		
6		41279_00012	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)(O)OC1C(C(C(C(C1O)O)O)O)O)OC(=O)CCCCCCCC=CCCCCCCCC		
7	removed another duplicate entry	41279_00013	CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCC=CCC=CCCCCC		
8		41279_00014	CCCCCCCCCCCCCCCCOCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCC=CCC=CCC=CCC=CCCCCC		
