id	name	formula	rt	pubchem.cid	pubchem.smiles.isomeric	pubchem.smiles.canonical	pubchem.inchi	pubchem.inchikey	id.chebi	id.hmdb	id.lipidmaps	id.kegg	comment
39098_00001	epicatechin	C15H14O6	12.07	1203		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)O							
39098_00002	epicatechin gallate	C22H18O10	15.99	367141		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C=C3)O)O)OC(=O)C4=CC(=C(C(=C4)O)O)O							
39098_00003	gallocatechin	C15H14O7	8.675	1249		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC(=C(C(=C3)O)O)O)O							
39098_00004	3,5-dihydroxybenzoic acid	C7H6O4	7.75	7424		C1=C(C=C(C=C1O)O)C(=O)O							
39098_00005	4-hydroxybenzoic acid	C7H6O3	10.6	135		C1=CC(=CC=C1C(=O)O)O							
39098_00006	astringin	C20H22O9	14.2	5089891		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O)O							
39098_00007	caftaric acid	C13H12O9	8.53	53398694		C1=CC(=C(C=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O)O							
39098_00008	cis-piceid	C20H22O8	18.42	393787		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O							
39098_00009	cis-resveratrol	C14H12O3	20.37	5056		C1=CC(=CC=C1C=CC2=CC(=CC(=C2)O)O)O							
39098_00010	ellagic acid	C14H6O8	20.34	5281855		C1=C2C3=C(C(=C1O)O)OC(=O)C4=CC(=C(C(=C43)OC2=O)O)O							
39098_00011	epiafzelechin	C15H14O5	15.55	282014		C1C(C(OC2=CC(=CC(=C21)O)O)C3=CC=C(C=C3)O)O							
39098_00012	esculetin	C9H6O4	12.19	5281416		C1=CC(=O)OC2=CC(=C(C=C21)O)O							
39098_00013	fertaric acid	C14H14O9	11.84	69501207		COC1=C(C=CC(=C1)C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O							
39098_00014	fraxin	C16H18O10	12.6	5909448		COC1=C(C(=C2C(=C1)C=CC(=O)O2)OC3C(C(C(C(O3)CO)O)O)O)O							
39098_00015	hesperetin	C16H14O6	21.13	3593		COC1=C(C=C(C=C1)C2CC(=O)C3=C(C=C(C=C3O2)O)O)O							
39098_00016	isorhamnetin 3-glucoside	C22H22O12	20.53	13245586		COC1=C(C=CC(=C1)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O							
39098_00017	isorhamnetin 3-rutinoside	C28H32O16	20.59	6223069		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)OC)O)O)O)O)O)O							
39098_00018	isorhapontin	C21H24O9	17.61	5090283		COC1=C(C=CC(=C1)C=CC2=CC(=CC(=C2)OC3C(C(C(C(O3)CO)O)O)O)O)O							
39098_00019	kaempferol 3-glucoside	C21H20O11	20.285	5462193		C1=CC(=CC=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O							
39098_00020	kaempferol 3-rutinoside	C27H30O15	20.49	12313332		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC=C(C=C5)O)O)O)O)O)O)O							
39098_00021	luteolin 7-glucoside	C21H20O11	19.73	5291488		C1=CC(=C(C=C1C2=CC(=O)C3=C(C=C(C=C3O2)OC4C(C(C(C(O4)CO)O)O)O)O)O)O							
39098_00022	methyl gallate	C8H8O5	10.73	7428		COC(=O)C1=CC(=C(C(=C1)O)O)O							
39098_00023	myricetin	C15H10O8	20.46	5281672		C1=C(C=C(C(=C1O)O)O)C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O							
39098_00024	naringenin	C15H12O5	21.04	932		C1C(OC2=CC(=CC(=C2C1=O)O)O)C3=CC=C(C=C3)O							
39098_00025	naringenin 7-glucoside	C21H22O10	19.53	282013		C1C(OC2=CC(=CC(=C2C1=O)O)OC3C(C(C(C(O3)CO)O)O)O)C4=CC=C(C=C4)O							
39098_00026	o-coumaric acid	C9H8O3	19.73	11968		C1=CC=C(C(=C1)C=CC(=O)O)O							
39098_00027	oxovitisin A	C25H24O13	20.67482759	136740013	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4O2)OC(=C3)O)OC5C(C(C(C(O5)CO)O)O)O							
39098_00028	pallidol	C28H22O6	17.57	57518717		C1=CC(=CC=C1C2C3C(C(C4=C3C=C(C=C4O)O)C5=CC=C(C=C5)O)C6=C2C(=CC(=C6)O)O)O							
39098_00029	phloridzin	C21H24O10	20.21	4789		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2OC3C(C(C(C(O3)CO)O)O)O)O)O)O							
39098_00030	phloretin	C15H14O5	21.06	4788		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C=C2O)O)O)O							
39098_00031	piceatanol	C14H12O4	17.88	4813		C1=CC(=C(C=C1C=CC2=CC(=CC(=C2)O)O)O)O							
39098_00032	procyanidin B1	C30H26O12	9.66	130556		C1C(C(OC2=C1C(=CC(=C2C3C(C(OC4=CC(=CC(=C34)O)O)C5=CC(=C(C=C5)O)O)O)O)O)C6=CC(=C(C=C6)O)O)O							
39098_00033	pterostilbene	C16H16O3	21.89	160517		COC1=CC(=CC(=C1)C=CC2=CC=C(C=C2)O)OC							
39098_00034	quercetin 3,4'-diglucoside	C27H30O17	17.38	22630387		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)O)O)OC5C(C(C(C(O5)CO)O)O)O							
39098_00035	quercetin 3-glucuronide	C21H18O13	19.91	12004528		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)C(=O)O)O)O)O)O)O							
39098_00036	quercetin 4'-glucoside	C21H20O12	20.37	12442954		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)OC4C(C(C(C(O4)CO)O)O)O							
39098_00037	quercetin 3-sulfate	C15H10O10S	20.11	5280362		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OS(=O)(=O)O)O)O							
39098_00038	quercetin 3-glucoside	C21H20O12	20.0	13179952		C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(O4)C(CO)O)O)O)O)O							
39098_00039	quercetin 3-rutinoside	C27H30O16	20.0	5293655		CC1C(C(C(C(O1)OCC2C(C(C(C(O2)OC3=C(OC4=CC(=CC(=C4C3=O)O)O)C5=CC(=C(C=C5)O)O)O)O)O)O)O)O							
39098_00040	syringic acid	C9H10O5	13.78	10742		COC1=CC(=CC(=C1O)OC)C(=O)O							
39098_00041	taxifolin	C15H12O7	16.82	471		C1=CC(=C(C=C1C2C(C(=O)C3=C(C=C(C=C3O2)O)O)O)O)O							
39098_00042	trans coutaric acid	C13H12O8	10.7	67380062		C1=CC(=CC=C1C=CC(=O)OC(C(C(=O)O)O)C(=O)O)O							
39098_00043	trans-ÃÂµ-viniferin	C21H24O10	20.75625	73830082		C1=CC(=CC=C1CCC(=O)C2=C(C=C(C(=C2O)C3C(C(C(C(O3)CO)O)O)O)O)O)O							
39098_00044	trilobatin	C17H14O7	20.59	5320945		COC1=CC(=C2C(=C1)OC(=C(C2=O)O)C3=CC(=C(C=C3)O)OC)O							
39098_00045	rhamnazin	C27H32O14	21.96	4441		CC1C(C(C(C(O1)OC2C(C(C(OC2OC3=CC(=C4C(=O)CC(OC4=C3)C5=CC=C(C=C5)O)O)CO)O)O)O)O)O							
39098_00046	phenacetin	C10H13NO2	19.35	4754		CCOC1=CC=C(C=C1)NC(=O)C							
39098_00047	naringin	C7H12O7	19.86	413696		COC1C(C(C(C(O1)C(=O)O)O)O)O							
39098_00048	genipin	C11H14O5	16.06	23340		COC(=O)C1=COC(C2C1CC=C2CO)O							removed duplet entry
39098_00049	vitisin A	C26H25O14	19.30034483	135430431	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)O[C@H]5[C@@H]([C@H]([C@@H]([C@H](O5)CO)O)O)O	COC1=CC(=CC(=C1O)OC)C2=C(C3=C4C(=CC(=O)C=C4OC(=C3C=[OH+])O)O2)OC5C(C(C(C(O5)CO)O)O)O							
